time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m
11.759,Weightlifting,Snatch,Side View,Not Detected,Detected,,45.71,,50.27,,106.4,,39.85,,120.65,54.69,3.733,7.652
11.851,Weightlifting,Snatch,Side View,Not Detected,Detected,,44.68,,49.12,,105.04,,40.16,,119.12,54.69,3.756,7.652
11.925,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.34,,53.53,,120.56,,40.16,,145.41,54.69,3.756,7.652
11.997,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.98,,55.16,,125.5,,39.71,,151.93,54.23,3.733,7.558
12.076,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.38,,54.92,,126.09,,40.16,,150.9,54.46,3.733,7.558
12.163,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.38,,52.98,,121.75,,40.16,,148.86,54.46,3.733,7.558
12.258,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.94,,46.98,,117.59,,41.22,,107.22,54.23,3.733,7.558
12.339,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.98,,47.0,,116.75,,41.22,,104.04,54.23,3.733,7.652
12.41,Weightlifting,Snatch,Side View,Not Detected,Detected,,43.21,,57.11,,123.85,,37.87,,152.02,53.91,3.733,7.652
12.49,Weightlifting,Snatch,Side View,Not Detected,Detected,,44.11,,59.13,,122.71,,36.31,,154.81,53.91,3.756,7.951
12.564,Weightlifting,Snatch,Side View,Not Detected,Detected,,43.82,,54.0,,119.23,,36.06,,155.41,53.05,3.756,7.951
12.632,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.34,,53.37,,122.96,,37.02,,155.98,53.29,3.756,7.652
12.721,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.34,,52.19,,111.16,,37.98,,144.07,52.74,3.756,7.652
12.816,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.31,,51.84,,107.34,,37.18,,137.49,52.43,3.733,7.288
12.879,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.41,,58.44,,116.14,,37.98,,141.65,52.43,3.733,7.288
12.967,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.5,,58.1,,120.23,,38.81,,146.02,52.43,3.756,7.951
13.039,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.2,,56.97,,118.9,,37.9,,160.87,51.89,3.756,7.951
13.123,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.89,,54.95,,116.57,,37.31,,162.44,51.89,3.733,7.558
13.189,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.98,,59.43,,117.09,,35.81,,159.7,51.58,3.733,7.558
13.259,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.98,,58.29,,117.31,,35.81,,161.02,51.58,3.733,7.849
13.339,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.47,,55.93,,118.44,,35.35,,159.25,51.4,3.733,7.849
13.428,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.94,,55.17,,117.68,,36.05,,158.55,51.22,3.756,8.055
13.505,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.84,,54.76,,117.6,,36.05,,158.73,50.91,3.756,8.055
13.587,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.53,,54.05,,117.78,,35.46,,159.06,50.85,3.733,7.558
13.684,Weightlifting,Snatch,Side View,Not Detected,Detected,,43.56,,56.91,,119.18,,37.53,,160.21,50.85,3.733,7.558
13.781,Weightlifting,Snatch,Side View,Not Detected,Detected,,43.9,,56.4,,119.24,,37.42,,155.96,50.85,3.733,7.652
13.844,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.05,,54.96,,119.81,,36.55,,157.77,50.49,3.733,7.652
13.916,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.21,,54.16,,120.85,,36.55,,159.34,50.49,3.71,7.652
14.016,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.8,,54.17,,118.52,,35.14,,158.99,49.95,3.71,7.652
14.097,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.71,,54.36,,119.92,,35.14,,158.99,49.95,3.733,7.376
14.161,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.49,,56.6,,108.92,,34.26,,158.83,49.36,3.733,7.376
14.238,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.19,,56.18,,102.01,,34.09,,158.27,48.24,3.756,8.055
14.305,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.0,,57.04,,111.99,,33.25,,157.57,48.3,3.756,8.055
14.367,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.0,,55.63,,114.54,,32.92,,157.25,48.04,3.733,7.376
14.428,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.56,,56.18,,117.53,,32.37,,157.44,48.01,3.733,7.376
14.506,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.65,,56.66,,118.92,,32.37,,157.44,48.01,3.733,7.466
14.585,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.58,,57.25,,123.57,,32.69,,159.21,47.75,3.733,7.466
14.654,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.58,,57.7,,124.03,,34.18,,162.15,48.01,3.733,7.288
14.746,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.09,,56.15,,121.12,,35.01,,158.7,48.01,3.733,7.288
14.84,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.19,,54.46,,118.02,,35.27,,156.79,48.01,3.756,7.849
